#options: 400x294 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:58 out:58 type:B dur:2 cpbdur:2 q:13.85 aq:11.43 tex:15687 mv:1671 misc:490 imb:1 pmb:295 smb:179 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:13.92 aq:12.64 tex:6534 mv:782 misc:524 imb:1 pmb:235 smb:239 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:13.79 aq:12.76 tex:6086 mv:782 misc:508 imb:0 pmb:218 smb:257 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:13.47 aq:5.84 tex:39433 mv:716 misc:475 imb:5 pmb:274 smb:196 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:13.34 aq:4.96 tex:116960 mv:2705 misc:279 imb:76 pmb:349 smb:50 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:13.40 aq:10.14 tex:21012 mv:1752 misc:420 imb:1 pmb:353 smb:121 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:13.43 aq:13.35 tex:6410 mv:620 misc:490 imb:0 pmb:210 smb:265 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:13.37 aq:11.36 tex:11694 mv:1487 misc:443 imb:3 pmb:342 smb:130 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:13.40 aq:4.61 tex:121362 mv:2282 misc:308 imb:46 pmb:369 smb:60 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:13.37 aq:9.89 tex:26116 mv:2028 misc:392 imb:5 pmb:372 smb:98 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:13.35 aq:12.63 tex:8677 mv:858 misc:505 imb:0 pmb:287 smb:188 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:13.38 aq:12.09 tex:7699 mv:1021 misc:504 imb:1 pmb:264 smb:210 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:13.40 aq:4.78 tex:105176 mv:2090 misc:326 imb:16 pmb:363 smb:96 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:13.40 aq:10.30 tex:16673 mv:2135 misc:408 imb:0 pmb:323 smb:152 d:- ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:13.40 aq:12.54 tex:8105 mv:997 misc:506 imb:0 pmb:251 smb:224 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:13.40 aq:13.28 tex:8316 mv:1245 misc:463 imb:0 pmb:250 smb:225 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:13.35 aq:4.65 tex:97200 mv:2062 misc:338 imb:25 pmb:346 smb:104 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:13.37 aq:11.15 tex:15710 mv:1720 misc:466 imb:1 pmb:300 smb:174 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:13.39 aq:12.83 tex:6817 mv:1001 misc:486 imb:0 pmb:235 smb:240 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:13.36 aq:12.64 tex:5205 mv:692 misc:511 imb:0 pmb:209 smb:266 d:- ref:0 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:13.20 aq:4.55 tex:68462 mv:1529 misc:393 imb:22 pmb:326 smb:127 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:13.28 aq:12.37 tex:5858 mv:751 misc:543 imb:0 pmb:206 smb:269 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:13.06 aq:4.55 tex:91903 mv:1841 misc:344 imb:16 pmb:343 smb:116 d:- ref:0 ;
